번호,제품명,브랜드명,성분구성
1,라스트 벨벳 립 틴트 4,삐아,"합성플루오르플로고파이트,폴리글리세릴-2아이소스테아레이트,다이메티콘/비닐다이메티콘크로스폴리머,다이메티콘,정제수,사이클로펜타실록세인,트라이메틸실록시실리케이트,아이소도데케인,세틸피이지/피피지-10/1다이메티콘,폴리메틸메타크릴레이트,폴리메틸실세스퀴옥세인,브이피/헥사데센코폴리머,솔비탄세스퀴올리에이트,12-헥산다이올,페녹시에탄올,에틸헥실글리세린,피이지-60하이드로제네이티드캐스터오일,다이스테아다이모늄헥토라이트,팔미틱애씨드,스테아릭애씨드,프로필렌카보네이트,실리카다이메틸실릴레이트,티타늄디옥사이드,적색산화철,흑색산화철,향료,황색5호,적색104호의1,적색102호"
2,라스트 벨벳 립 틴트 3,삐아,"합성플루오르플로고파이트,폴리글리세릴-2아이소스테아레이트,다이메티콘/비닐다이메티콘크로스폴리머,다이메티콘,정제수,사이클로펜타실록세인,트라이메틸실록시실리케이트,아이소도데케인,세틸피이지/피피지-10/1다이메티콘,폴리메틸메타크릴레이트,폴리메틸실세스퀴옥세인,브이피/헥사데센코폴리머,솔비탄세스퀴올리에이트,12-헥산다이올,페녹시에탄올,에틸헥실글리세린,피이지-60하이드로제네이티드캐스터오일,다이스테아다이모늄헥토라이트,팔미틱애씨드,스테아릭애씨드,프로필렌카보네이트,실리카다이메틸실릴레이트,티타늄디옥사이드,흑색산화철,향료,황색5호,적색104호의1,적색202호"
3,베르니 아 레브르 바이닐 크림,입생로랑,"정제수,옥틸도데칸올,트라이메틸실록시페닐다이메티콘,에틸셀룰로오스,합성왁스,세틸알코올,알코올,폴리부텐,글리세릴스테아레이트,베헤닐알코올,스테아레스-20,페녹시에탄올,소듐라우릴설페이트,글리세릴스테아레이트시트레이트,다이소듐에칠렌디코카마이드피이지-15디설페이트,하이드록시프로필구아,칼슘알루미늄보로실리케이트,합성플루오르플로고파이트,스테아릴알코올,미리스틸알코올,마그네슘실리케이트,칼슘소듐보로실리케이트,알루미늄하이드록사이드,소듐사카린,알루미나,실리카,벤질알코올,틴옥사이드,아니스알코올,향료,티타늄디옥사이드,적색202호,적색산화철,황색산화철,흑색산화철,황색5호,적색227호,등색205호,적색104호의1,마이카,황색4호,청색1호,카민"
4,라스트 벨벳 립 틴트,삐아,"다이메티콘,합성플루오르플로고파이트,다이메티콘/비닐다이메티콘크로스폴리머,프로필렌글라이콜,정제수,폴리글리세릴-2아이소스테아레이트,세틸피이지/피피지-10/1다이메티콘,폴리메틸메타크릴레이트,폴리메틸실세스퀴옥세인,사이클로펜타실록세인,트라이메틸실록시실리케이트,브이피/헥사데센코폴리머,솔비탄세스퀴올리에이트,페녹시에탄올,피이지-60하이드로제네이티드캐스터오일,다이스테아다이모늄헥토라이트,팔미틱애씨드,프로필렌카보네이트,실리카다이메틸실릴레이트,적색218호,적색산화철,흑색산화철,황색산화철,티타늄디옥사이드,적색104호의1,망가니즈바이올렛,향료"
5,어딕트 라커 플럼프,디올,"정제수,메틸하이드로제네이티드로지네이트,하이드로제네이티드폴리아이소부텐,폴리글리세릴-2트라이아이소스테아레이트,글리세린,카프릴릭/카프릭트라이글리세라이드,하이드로제네이티드폴리사이클로펜타디엔,비스-베헤닐/아이소스테아릴/피토스테릴다이머디리놀레일다이머디리놀리에이트,알코올,스테아레스-21,미레스-3미리스테이트,메도우폼씨오일,페녹시에탄올,다이팔미토일하이드록시프롤린,스테아레스-2,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,티타늄디옥사이드,스쿠알란,팔미틱애씨드,트라이메틸올프로판트라이아이소스테아레이트,폴리솔베이트60,부틸렌글라이콜,황색5호,적색103호의(1),스테비오사이드,향료,소듐시트레이트,소듐하이알루로네이트,적색226호레이크,황색5호레이크,솔비탄아이소스테아레이트,시트릭애씨드,멘톡시프로판다이올,토코페롤,오크라열매추출물,프로필갈레이트,비에이치티,벤질살리실레이트,리날룰,아밀신나몰"
6,따뚜아쥬 꾸뛰르,입생로랑,"정제수,다이메티콘,옥틸도데칸올,아이소도데케인,부틸렌글라이콜,알코올,아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머,세틸피이지/피피지-10/1다이메티콘,트라이메틸펜타페닐트라이실록세인,다이스테아다이모늄헥토라이트,폴리글리세릴-4아이소스테아레이트,마그네슘설페이트,페녹시에탄올,알루미나,프로필렌카보네이트,피이지/피피지-18/18다이메티콘,합성플루오르플로고파이트,다이소듐스테아로일글루타메이트,칼슘소듐보로실리케이트,알루미늄하이드록사이드,블랙커민씨오일,칼슘알루미늄보로실리케이트,벤질알코올,로진,마그네슘실리케이트,실리카,아니스알코올,틴옥사이드,펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,토코페롤,향료,티타늄디옥사이드,적색104호의1,적색산화철,황색산화철,흑색산화철,적색103호의(1),황색5호,적색227호,망가니즈바이올렛,황색4호,바륨설페이트,적색201호,청색1호,카민"
7,압솔뤼 에나멜 라커,랑콤,"옥틸도데칸올,정제수,트라이메틸실록시페닐다이메티콘,에틸셀룰로오스,솔비탄스테아레이트,글리세린,알코올,틴옥사이드,칼슘알루미늄보로실리케이트,칼슘소듐보로실리케이트,소듐라우릴설페이트,실리카,알루미나,알루미늄하이드록사이드,마그네슘실리케이트,수크로오스코코에이트,하이드록시프로필구아,합성플루오르플로고파이트,세틸알코올,페녹시에탄올,제라니올,하이드록시시트로넬알,헥실신나몰,벤질알코올,향료,적색202호,황색5호,적색227호,황색4호,청색1호,적색104호의1,카민,바륨설페이트,적색산화철,황색산화철,흑색산화철,티타늄디옥사이드,마이카"
8,베르니 아 레브르 팝 워터,입생로랑,"옥틸도데칸올,정제수,트라이메틸실록시페닐다이메티콘,에틸셀룰로오스,글리세린,솔비탄스테아레이트,알코올,세틸알코올,페녹시에탄올,수크로오스코코에이트,칼슘알루미늄보로실리케이트,소듐라우릴설페이트,하이드록시프로필구아,합성플루오르플로고파이트,칼슘소듐보로실리케이트,소듐폴리아크릴레이트,알루미나,마그네슘실리케이트,실리카,벤질알코올,틴옥사이드,리모넨,벤질벤조에이트,아니스알코올,향료"
9,루쥬 쀠르 꾸뛰르 베르니 아 레브르,입생로랑,"옥틸도데칸올,정제수,트라이메틸실록시페닐다이메티콘,에틸셀룰로오스,솔비탄스테아레이트,알코올,세틸알코올,수크로오스코코에이트,페녹시에탄올,소듐라우릴설페이트,하이드록시프로필구아,합성플루오르플로고파이트,칼슘알루미늄보로실리케이트,마그네슘실리케이트,실리카,리모넨,칼슘소듐보로실리케이트,벤질벤조에이트,틴옥사이드,아니스알코올,알루미나,향료"
10,벨벳 립 틴트,3CE,"다이메티콘,사이클로펜타실록세인,폴리글리세릴-2트라이아이소스테아레이트,다이메티콘크로스폴리머,다이메티콘/비닐다이메티콘크로스폴리머,아이소도데케인,사이클로헥사실록세인,황색5호,12-헥산다이올,적색202호,적색104호의1,다이스테아다이모늄헥토라이트,페녹시에탄올,적색218호,향료,피이지-10다이메티콘,토코페릴아세테이트,프로필렌카보네이트,카프릴릭/카프릭트라이글리세라이드,해바라기씨오일,포트마리골드꽃오일,로즈힙열매추출물,장미추출물"
11,무드 라이어 벨벳 틴트,릴리바이레드,"다이메티콘,다이메티콘/비닐다이메티콘크로스폴리머,정제수,글리세린,세틸피이지/피피지-10/1다이메티콘,폴리글리세릴-2트라이아이소스테아레이트,사이클로펜타실록세인,펜틸렌글라이콜,황색5호,티타늄디옥사이드,메틸트라이메티콘,마이카,실리카,적색산화철,페녹시에탄올,적색202호,향료,부틸아크릴레이트/하이드록시프로필다이메티콘아크릴레이트코폴리머,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,카프릴릴글라이콜,12-헥산다이올,에틸헥실글리세린,흑색산화철,황색4호,프로판다이올,적색201호,적색227호,적색104호의1,실리카다이메틸실릴레이트,팔각회향추출물,소듐폴리아크릴레이트,메티콘,청색1호,트라이데세스-6,피이지/피피지-18/18다이메티콘"
12,에어 핏 벨벳 틴트,블랙루즈,"다이메티콘,다이메티콘/비닐다이메티콘크로스폴리머,정제수,부틸렌글라이콜,아이소도데케인,폴리메틸실세스퀴옥세인,폴리글리세릴-2아이소스테아레이트,세틸피이지/피피지-10/1다이메티콘,폴리메틸메타크릴레이트,합성플루오르플로고파이트,실리카,사이클로펜타실록세인,트라이메틸실록시실리케이트,브이피/헥사데센코폴리머,솔비탄세스퀴올리에이트,12-헥산다이올,피이지-60하이드로제네이티드캐스터오일,다이스테아다이모늄헥토라이트,실리카다이메틸실릴레이트,팔미틱애씨드,스테아릭애씨드,프로필렌카보네이트,에틸헥실글리세린,페녹시에탄올,티타늄디옥사이드,황색5호,적색산화철,적색201호,적색202호,적색102호,흑색산화철,향료"
13,버시컬러 바니쉬 크림 립 스테인,맥,"정제수,옥틸도데칸올,트라이메틸실록시페닐다이메티콘,변성알코올,솔비탄스테아레이트,다이펜타에리스리틸테트라하이드록시스테아레이트/테트라아이소스테아레이트,에틸셀룰로오스,세틸알코올,글리세린,아크릴레이트코폴리머,에틸헥실글리세린,하이드록시프로필구아,다이아이소스테아릴말레이트,하이드로제네이티드폴리데센,틴옥사이드,합성플루오르플로고파이트,폴리아이소부텐,폴리아크릴레이트-13,폴리솔베이트60,폴리솔베이트20,카프릴릴글라이콜,펜틸렌글라이콜,12-헥산다이올,솔비탄아이소스테아레이트,폴리글리세릴-2다이아이소스테아레이트,폴리글리세릴-2트라이아이소스테아레이트,향료,바닐린,다이소듐이디티에이,페녹시에탄올,마이카,티타늄디옥사이드,적색산화철,황색산화철,흑색산화철,청색1호,청색1호레이크,적색201호,적색202호,적색218호,적색104호의1,적색104호의1레이크,적색227호,황색4호,황색4호레이크,황색5호,황색5호레이크"
14,체크 글로시 블라스터 틴트,투쿨포스쿨,"옥틸도데칸올,정제수,트라이메틸실록시페닐다이메티콘,에틸셀룰로오스,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,펜틸렌글라이콜,세테아릴글루코사이드,향료,소듐라우릴설페이트,적색2호,알코올,카프릴릴글라이콜,폴리글리세릴-2트라이아이소스테아레이트,황색5호,하이드록시프로필구아,스테비오사이드,에틸헥실글리세린,12-헥산다이올,적색201호,적색104호의1,프로판다이올,옥탄다이올,서양자두씨오일,로즈마리추출물,알로에베라잎추출물,쉐어버터"
15,립 마그넷,조르지오 아르마니,"정제수,다이메티콘,옥틸도데칸올,아이소도데케인,부틸렌글라이콜,알코올,아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머,세틸피이지/피피지-10/1다이메티콘,트라이메틸펜타페닐트라이실록세인,다이스테아다이모늄헥토라이트,폴리글리세릴-4아이소스테아레이트,토코페롤,페녹시에탄올,마그네슘설페이트,피이지/피피지-18/18다이메티콘,마그네슘실리케이트,칼슘소듐보로실리케이트,칼슘알루미늄보로실리케이트,실리카,합성플루오르플로고파이트,펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,틴옥사이드,프로필렌카보네이트,다이소듐스테아로일글루타메이트,알루미나,알루미늄하이드록사이드,티타늄디옥사이드,적색201호,적색산화철,황색산화철,흑색산화철,적색104호의1,적색103호의(1),황색5호,황색4호,청색1호,카민,마이카"
16,NEW 센슈얼 틴트,헤라,"정제수,하이드로제네이티드폴리아이소부텐,마이크로크리스탈린왁스,폴리솔베이트60,스쿠알란,폴리글리세릴-2트라이아이소스테아레이트,아이소도데케인,솔비탄스테아레이트,덱스트린팔미테이트/에칠헥사노에이트,펜타에리스리틸테트라아이소스테아레이트,폴리글리세릴-2다이아이소스테아레이트,폴리에틸렌,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,페녹시에탄올,다이스테아다이모늄헥토라이트,프로판다이올,카프릴릴글라이콜,프로필렌카보네이트,리모넨,에틸헥실글리세린,리날룰,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,트로메타민,데하이드로아세틱애씨드,다이소듐이디티에이,실리카,알루미나,토코페롤,솔비탄아이소스테아레이트,시트로넬올,시트랄,제라니올,비에이치티,향료,적색202호,황색5호,적색218호,적색227호,황색4호,티타늄디옥사이드,적색산화철,황색203호,청색1호,적색104호의1"
17,루쥬 쀠르 꾸뛰르 베르니 아 레브르 레블 누드,입생로랑,"칼슘알루미늄보로실리케이트,칼슘소듐보로실리케이트,알루미나,폴리에틸렌테레프탈레이트,실리카,합성플루오르플로고파이트,틴옥사이드,아크릴레이트코폴리머,알코올,아니스알코올,정제수,벤질알코올,벤질벤조에이트,세틸알코올,에틸셀룰로오스,하이드록시프로필구아,리모넨,옥틸도데칸올,향료,페녹시에탄올,소듐라우릴설페이트,솔비탄스테아레이트,수크로오스코코에이트,트라이메틸실록시페닐다이메티콘,카라멜,적색202호,황색5호,적색227호,황색4호,청색1호,카민,적색산화철,황색산화철,흑색산화철,티타늄디옥사이드,마이카"
18,하이 틴티드 립 락커,정샘물,"정제수,옥틸도데칸올,글리세린,부틸렌글라이콜,세틸알코올,에틸셀룰로오스,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,폴리솔베이트20,솔비탄아이소스테아레이트,다이아이소스테아릴말레이트,12-헥산다이올,솔비탄세스퀴올리에이트,하이드록시프로필구아,감초추출물,녹차추출물,생강추출물,오미자추출물,황련추출물,향료,폴리솔베이트60,폴리하이드록시스테아릭애씨드,카프릴릴글라이콜,프로폴리스왁스,트라이에톡시카프릴릴실레인,로즈힙열매오일,다마스크장미꽃수,포트마리골드꽃추출물,적색202호,적색104호의1,적색227호,등색201호,흑색산화철,비스-베헤닐/아이소스테아릴/피토스테릴다이머디리놀레일다이머디리놀리에이트,에틸헥실글리세린,티타늄디옥사이드"
19,바이플라워 트리플 무스 틴트,네이처리퍼블릭,"다이메티콘,다이메티콘크로스폴리머,정제수,글리세린,폴리글리세릴-2트라이아이소스테아레이트,마이카,실리카,메틸트라이메티콘,펜틸렌글라이콜,적색202호,세틸피이지/피피지-10/1다이메티콘,적색201호,부틸아크릴레이트/하이드록시프로필다이메티콘아크릴레이트코폴리머,적색104호의1,적색218호,페녹시에탄올,황색5호,카프릴릴글라이콜,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,실리카다이메틸실릴레이트,에틸헥실글리세린,향료,12-헥산다이올,프로판다이올,피이지/피피지-18/18다이메티콘,소듐폴리아크릴레이트,메티콘,사이클로펜타실록세인,트라이데세스-6,팔각회향추출물,코코넛추출물,아보카도버터,하이드로제네이티드식물성오일,부틸렌글라이콜,소듐하이알루로네이트"
20,비비드 슬림핏 틴트,이니스프리,"메틸트라이메티콘,사이클로펜타실록세인,트라이메틸실록시실리케이트,폴리에틸렌,비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,폴리글리세릴-2트라이아이소스테아레이트,페닐트라이메티콘,폴리메틸메타크릴레이트,합성칸데릴라왁스,적색산화철,마이크로크리스탈린왁스,적색104호의1,티타늄디옥사이드,폴리아이소부텐,솔비탄세스퀴올리에이트,다이아이소스테아릴말레이트,쿼터늄-18헥토라이트,카프릴릴글라이콜,향료,12-헥산다이올,청색1호,프로판다이올,토코페릴아세테이트,팔각회향추출물,석영,올리브오일,아보카도오일,녹차씨오일"
21,엑스터시 라커,조르지오 아르마니,"옥틸도데칸올,정제수,트라이메틸실록시페닐다이메티콘,에틸셀룰로오스,솔비탄스테아레이트,글리세린,알코올,수크로오스코코에이트,소듐라우릴설페이트,하이드록시프로필구아,하이드록시시트로넬알,페녹시에탄올,마그네슘실리케이트,칼슘알루미늄보로실리케이트,실리카,합성플루오르플로고파이트,틴옥사이드,벤질알코올,신나밀알코올,아이소유제놀,알파-아이소메틸아이오논,향료,세틸알코올,티타늄디옥사이드,적색202호,황색5호,적색산화철,흑색산화철,적색227호,황색4호,카민,청색1호,마이카"
22,앙큼 라이어 코팅 틴트,릴리바이레드,"옥틸도데칸올,정제수,트라이메틸실록시페닐다이메티콘,에틸셀룰로오스,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,솔비탄스테아레이트,부틸렌글라이콜,세테아릴글루코사이드,세테아릴알코올,트레할로오스,폴리글리세릴-2트라이아이소스테아레이트,티타늄디옥사이드,페녹시에탄올,폴리솔베이트20,소듐라우로일글루타메이트,글리세릴스테아레이트,피이지-100스테아레이트,황색5호,향료,스테비오사이드,폴리아이소부텐,수크로오스코코에이트,적색104호의1,카프릴릴글라이콜,12-헥산다이올,트로메타민,피이지-7트라이메틸올프로판코코넛에터,적색201호,프로판다이올,에틸헥실글리세린,적색218호,적색202호,적색223호,팔각회향추출물"
23,매드 매트 틴트,클리오,"정제수,하이드로제네이티드폴리아이소부텐,사이클로펜타실록세인,폴리글리세릴-2트라이아이소스테아레이트,아이소도데케인,프로판다이올,트라이메틸실록시실리케이트,세틸피이지/피피지-10/1다이메티콘,실리카,알코올,합성플루오르플로고파이트,다이스테아다이모늄헥토라이트,메틸메타크릴레이트크로스폴리머,12-헥산다이올,다이메티콘,솔비탄세스퀴올리에이트,폴리글리세릴-6폴리리시놀리에이트,다이아이소스테아릴말레이트,프로필렌카보네이트,스테비오사이드,에틸헥실글리세린,다이스테아릴다이모늄클로라이드,향료,페녹시에탄올,적색산화철,적색202호,황색5호,적색104호의1,흑색산화철"
24,크리미 실키 틴트,엘르걸,"다이메티콘,사이클로펜타실록세인,정제수,다이메티콘/비닐다이메티콘크로스폴리머,세틸피이지/피피지-10/1다이메티콘,폴리글리세릴-2트라이아이소스테아레이트,글리세린,메틸트라이메티콘,티타늄디옥사이드,펜틸렌글라이콜,황색5호,적색202호,페녹시에탄올,적색104호의1,카프릴릴글라이콜,적색201호,12-헥산다이올,향료,에틸헥실글리세린,프로판다이올,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,실리카다이메틸실릴레이트,팔각회향추출물,청색1호,아이소세테스-25,아이소세테스-10,쉐어버터,서양자두씨오일,덩굴월귤열매추출물,부틸렌글라이콜"
25,엑스퍼트 컬러 립 스테인(페이턴트 샤인),VDL,"정제수,옥틸도데칸올,트라이메틸실록시페닐다이메티콘,변성알코올,솔비탄스테아레이트,에틸셀룰로오스,베헤닐알코올,아크릴레이트코폴리머,펜틸렌글라이콜,폴리솔베이트60,폴리글리세릴-2트라이아이소스테아레이트,하이드록시프로필구아,다이아이소스테아릴말레이트,하이드로제네이티드폴리데센,소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,폴리글리세릴-2다이아이소스테아레이트,아이소헥사데칸,폴리솔베이트80,카프릴릴글라이콜,에틸헥실글리세린,페녹시에탄올,향료,티타늄디옥사이드,적색202호,적색218호,적색104호의1,적색102호,황색4호,적색227호,황색5호"
26,페리스 잉크 더 벨벳,페리페라,"다이메티콘/비닐다이메티콘크로스폴리머,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,정제수,폴리글리세릴-2트라이아이소스테아레이트,메틸트라이메티콘,마이카,실리카,펜틸렌글라이콜,적색202호,적색201호,세틸피이지/피피지-10/1다이메티콘,부틸아크릴레이트/하이드록시프로필다이메티콘아크릴레이트코폴리머,적색218호,적색104호의1,페녹시에탄올,황색5호,다이메티콘,카프릴릴글라이콜,사이클로펜타실록세인,에틸헥실글리세린,12-헥산다이올,향료,프로판다이올,피이지/피피지-18/18다이메티콘,실리카다이메틸실릴레이트,메티콘,팔각회향추출물"
27,샘물 무스 캔디 틴트,더샘,"다이메티콘,정제수,다이메티콘/비닐다이메티콘크로스폴리머,메틸트라이메티콘,글리세린,세틸피이지/피피지-10/1다이메티콘,사이클로펜타실록세인,브이피/메타크릴아마이드/비닐이미다졸코폴리머,펜틸렌글라이콜,황색5호,폴리글리세릴-2트라이아이소스테아레이트,페녹시에탄올,적색227호,티타늄디옥사이드,카프릴릴글라이콜,향료,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,적색202호,12-헥산다이올,프로판다이올,에틸헥실글리세린,토코페롤,페닐프로판올,실리카다이메틸실릴레이트,팔각회향추출물,하이드롤라이즈드콜라겐,꿀추출물,프로필렌글라이콜,판테놀,부틸렌글라이콜,소듐하이알루로네이트"
28,에멀전 글로시 틴트,뜨엘,"정제수,옥틸도데칸올,트라이메틸실록시페닐다이메티콘,변성알코올,솔비탄스테아레이트,에틸셀룰로오스,베헤닐알코올,아크릴레이트코폴리머,폴리솔베이트60,펜틸렌글라이콜,폴리글리세릴-2트라이아이소스테아레이트,소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,아이소헥사데칸,폴리솔베이트80,다이아이소스테아릴말레이트,폴리글리세릴-2다이아이소스테아레이트,에틸헥실글리세린,페녹시에탄올,향료,적색201호,적색202호,적색102호,티타늄디옥사이드,청색1호,황색4호,적색227호,적색104호의1,황색5호"
29,울트라 HD 스무디 벨벳 틴트,우드버리,"다이메티콘,다이메티콘/비닐다이메티콘크로스폴리머,사이클로펜타실록세인,정제수,세틸피이지/피피지-10/1다이메티콘,글리세린,폴리글리세릴-2트라이아이소스테아레이트,티타늄디옥사이드,메틸트라이메티콘,펜틸렌글라이콜,부틸아크릴레이트/하이드록시프로필다이메티콘아크릴레이트코폴리머,카프릴릴글라이콜,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,12-헥산다이올,에틸헥실글리세린,향료,프로판다이올,실리카다이메틸실릴레이트,팔각회향추출물,아이소세테스-10,아이소세테스-25"
30,라이블리 립매트,이글립스,"아이소도데케인,합성플루오르플로고파이트,폴리부텐,티타늄디옥사이드,다이스테아다이모늄헥토라이트,브이피/헥사데센코폴리머,마이크로크리스탈린왁스,트라이메틸실록시실리케이트,사이클로펜타실록세인,황색산화철,프로필렌카보네이트,12-헥산다이올,적색201호,흑색산화철,아보카도오일,로즈힙열매오일,마카다미아씨오일,살구씨오일,페녹시에탄올,토코페릴아세테이트,향료"
31,래스팅 페인팅 틴트,미샤,"정제수,옥틸도데칸올,트라이메틸실록시페닐다이메티콘,변성알코올,솔비탄스테아레이트,아크릴레이트코폴리머,에틸셀룰로오스,베헤닐알코올,하이드로제네이티드폴리데센,실리카,폴리메틸실세스퀴옥세인,해바라기씨오일,알로에베라잎추출물,키위추출물,펜틸렌글라이콜,폴리솔베이트60,폴리아크릴레이트-13,폴리아이소부텐,폴리글리세릴-2트라이아이소스테아레이트,다이아이소스테아릴말레이트,하이드록시프로필구아,폴리솔베이트20,폴리글리세릴-2다이아이소스테아레이트,솔비탄아이소스테아레이트,에틸헥실글리세린,카프릴릴글라이콜,12-헥산다이올,다이소듐이디티에이,페녹시에탄올,향료,적색산화철,적색218호,적색102호,적색202호,흑색산화철,황색5호,적색227호,황색4호"
32,볼립떼 틴트 인 오일,입생로랑,"폴리부텐,다이아이소스테아릴말레이트,옥틸도데칸올,하이드로제네이티드폴리아이소부텐,트라이데실트라이멜리테이트,C12-15알킬벤조에이트,펜틸렌글라이콜,카프릴릴글라이콜,칼슘소듐보로실리케이트,합성플루오르플로고파이트,펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,살구씨오일,알루미나,패션프룻씨오일,마카다미아씨오일,고수열매오일,호호바씨오일,마그네슘실리케이트,칼슘알루미늄보로실리케이트,틴옥사이드,실리카,향료,적색산화철,황색산화철,흑색산화철,티타늄디옥사이드,마이카,적색104호의1,적색103호의(1),황색5호,적색201호,황색4호,베타-카로틴,적색202호,청색1호,자색201호,카민"
