번호,제품명,브랜드명,성분구성
33,리얼핏 매트 리퀴드,이니스프리,"아이소도데케인,다이메티콘,다이스테아다이모늄헥토라이트,카프릴릭/카프릭트라이글리세라이드,트라이메틸실록시실리케이트,하이드로제네이티드폴리아이소부텐,트라이메틸실록시페닐다이메티콘,트라이실록세인,티타늄디옥사이드,사이클로펜타실록세인,적색산화철,다이메티콘/비닐다이메티콘크로스폴리머,폴리하이드록시스테아릭애씨드,황색5호,적색202호,적색103호의(1),적색201호,향료,에틸렌/프로필렌/스타이렌코폴리머,프로필렌카보네이트,부틸렌/에틸렌/스타이렌코폴리머,에틸헥실팔미테이트,레시틴,아이소스테아릭애씨드,아이소프로필팔미테이트,글리세릴카프릴레이트,폴리글리세릴-3폴리리시놀리에이트,데하이드로아세틱애씨드,동백오일,호호바씨오일,퉁퉁마디추출물"
34,비비드 오일 틴트,이니스프리,"글리세린,다이아이소스테아릴말레이트,폴리부텐,정제수,폴리글리세릴-2트라이아이소스테아레이트,다이페닐다이메티콘,비스-다이글리세릴폴리아실아디페이트-2,폴리글리세릴-10노나아이소스테아레이트,세틸피이지/피피지-10/1다이메티콘,카프릴릭/카프릭트라이글리세라이드,하이드로제네이티드폴리아이소부텐,다이머디리놀레일다이머디리놀리에이트,폴리솔베이트60,글리세릴스테아레이트,피이지-100스테아레이트,솔비탄세스퀴올리에이트,펜틸렌글라이콜,12-헥산다이올,페녹시에탄올,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,티타늄디옥사이드,황색4호,적색104호의1,스쿠알란,부틸렌글라이콜,에틸헥실글리세린,스테비오사이드,적색227호,솔비탄아이소스테아레이트,소듐시트레이트,시트릭애씨드,아르간트리커넬오일,해바라기씨오일,올리브오일,동백오일,호호바씨오일,녹차씨오일,마카다미아씨오일,붉은누룩곰팡이추출물,향료"
35,포켓몬_피카피카 겟잇 틴트,토니모리,"정제수,부틸렌글라이콜,글리세린,다마스크장미꽃수,동백꽃추출물,무화과추출물,은행추출물,오디추출물,석류추출물,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,폴리아크릴레이트크로스폴리머-6,피이지-60하이드로제네이티드캐스터오일,다이프로필렌글라이콜,다이메티콘,에틸헥실글리세린,덱스트린,스테비오사이드,레시틴,알루미늄하이드록사이드,암모늄폴리아크릴레이트,폴리메틸실세스퀴옥세인,토코페릴아세테이트,실리카,시트릭애씨드,페녹시에탄올,포타슘솔베이트,소듐벤조에이트,향료,티타늄디옥사이드,황색5호,적색227호,적색104호의1"
36,컬러 인 리퀴드 립스 무스,에뛰드하우스,"다이메티콘,정제수,사이클로펜타실록세인,다이메티콘/비닐다이메티콘크로스폴리머,메틸트라이메티콘,세틸피이지/피피지-10/1다이메티콘,부틸렌글라이콜,브이피/메타크릴아마이드/비닐이미다졸코폴리머,글리세린,황색5호,페녹시에탄올,적색227호,카프릴릴글라이콜,폴리글리세릴-2트라이아이소스테아레이트,12-헥산다이올,프로판다이올,향료,적색104호의1,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,실리카다이메틸실릴레이트,아이소세테스-25,아이소세테스-10,토코페롤,페닐프로판올,팔각회향추출물"
37,워터드롭 틴트,라네즈,"정제수,옥틸도데칸올,트라이메틸실록시페닐다이메티콘,부틸렌글라이콜,알코올,솔비탄스테아레이트,에틸셀룰로오스,세틸알코올,폴리솔베이트60,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,에틸헥실글리세린,실리카,알루미나,향료,적색201호,적색202호,적색218호,적색104호의1,적색227호,황색4호,황색5호,황색203호,청색1호,티타늄디옥사이드,흑색산화철,적색산화철,마이카"
38,라끄 엑셀랑스 틴티드,비디비치,"정제수,옥틸도데칸올,글리세린,폴리글리세릴-2트라이아이소스테아레이트,변성알코올,피토스테릴/아이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트,에틸셀룰로오스,세테아릴글루코사이드,부틸렌글라이콜,세테아릴알코올,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,12-헥산다이올,다마스크장미꽃오일,달맞이꽃오일,로즈힙열매오일,펜틸렌글라이콜,아크릴레이트코폴리머,아라키딜알코올,라우레스-21,베헤닐알코올,아라키딜글루코사이드,폴리솔베이트20,폴리아크릴레이트크로스폴리머-6,소듐사카린,소듐시트레이트,에틸헥실글리세린,시트릭애씨드,향료,페녹시에탄올,적색227호,등색205호,적색104호의1"
39,베리 딜리셔스 컬러 인 리퀴드 립스,에뛰드하우스,"정제수,옥틸도데칸올,트라이메틸실록시페닐다이메티콘,글리세린,솔비탄스테아레이트,알코올,에틸셀룰로오스,구기자추출물,덩굴월귤열매추출물,등색205호,딸기추출물,라즈베리추출물,무환자추출물,블루베리추출물,에틸헥실글리세린,적색202호,적색227호,진들딸기씨추출물,커피추출물,페녹시에탄올,폴리글리세릴-2트라이아이소스테아레이트,폴리솔베이트60,폴리솔베이트20,폴리아크릴레이트-13,폴리아이소부텐,프로판다이올,향료,황색5호"
40,체크 크리미 블라스터 틴트,투쿨포스쿨,"다이메티콘,다이메티콘/비닐다이메티콘크로스폴리머,정제수,글리세린,사이클로펜타실록세인,세틸피이지/피피지-10/1다이메티콘,메틸트라이메티콘,티타늄디옥사이드,폴리글리세릴-2트라이아이소스테아레이트,부틸렌글라이콜,부틸아크릴레이트/하이드록시프로필다이메티콘아크릴레이트코폴리머,피이지-10다이메티콘,적색202호,적색218호,에틸헥실글리세린,황색4호,페녹시에탄올,적색104호의1,마이카,알루미늄하이드록사이드,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,청색1호,적색산화철,향료,실리카다이메틸실릴레이트,메티콘,카카오씨버터,망고씨버터,쉐어버터,우유단백질추출물,12-헥산다이올"
41,잉크 더 포근 벨벳,페리페라,"다이메티콘,사이클로펜타실록세인,다이메티콘/비닐다이메티콘크로스폴리머,글리세린,정제수,실리카,트라이메틸실록시페닐다이메티콘,세틸피이지/피피지-10/1다이메티콘,페닐트라이메티콘,피이지-10다이메티콘,쿼터늄-18헥토라이트,펜틸렌글라이콜,실리카실릴레이트,솔비탄올리베이트,솔비탄세스퀴올리에이트,옥타데센,아크릴레이트/다이메티콘코폴리머,페녹시에탄올,피피지-26-부테스-26,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,사이클로테트라실록세인,피이지-40하이드로제네이티드캐스터오일,에틸헥실글리세린,글리세릴카프릴레이트,폴리글리세릴-2트라이아이소스테아레이트,쉐어버터,스위트아몬드오일,카프릴릭/카프릭트라이글리세라이드,연꽃추출물,향료,황색5호,적색104호의1,적색202호,적색218호"
42,래스팅 립 틴트,어퓨,"정제수,프로필렌글라이콜다이카프릴레이트/다이카프레이트,트라이메틸실록시실리케이트,하이드로제네이티드폴리데센,하이드로제네이티드폴리아이소부텐,아이소헥사데칸,폴리글리세릴-2트라이아이소스테아레이트,폴리프로필실세스퀴옥세인,다이메티콘,세틸피이지/피피지-10/1다이메티콘,소듐클로라이드,라우릴피이지-9폴리다이메틸실록시에틸다이메티콘,잇꽃씨추출물,벚꽃추출물,자근추출물,토마토수,소듐하이알루로네이트,솔비탄세스퀴올리에이트,다이메티콘/비닐다이메티콘크로스폴리머,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,스쿠알란,다이스테아다이모늄헥토라이트,글리세릴아이소스테아레이트,옥토크릴렌,세레신,오조케라이트,폴리솔베이트60,솔비탄아이소스테아레이트,부틸렌글라이콜,알코올,글리세린,에틸헥실글리세린,페녹시에탄올,12-헥산다이올,카프릴릴글라이콜,향료,티타늄디옥사이드,적색104호의1,등색205호,황색5호,적색102호,흑색산화철,청색1호"
43,하이라이트 립 틴트 글로우,마몽드,"정제수,비스-다이글리세릴폴리아실아디페이트-2,다이페닐다이메티콘,다이아이소스테아릴말레이트,옥틸도데칸올,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,세틸피이지/피피지-10/1다이메티콘,부틸렌글라이콜,글리세린,폴리솔베이트60,펜틸렌글라이콜,솔비탄아이소스테아레이트,페녹시에탄올,수크로오스코코에이트,티타늄디옥사이드,소듐라우로일글루타메이트,향료,폴리글리세릴-2트라이아이소스테아레이트,적색104호의1,카프릴릴글라이콜,12-헥산다이올,트로메타민,에틸헥실글리세린,스테비오사이드,프로판다이올,황색4호,팔각회향추출물,동백오일,달맞이꽃오일"
44,버시컬러 스테인,맥,"정제수,옥토크릴렌,트라이메틸실록시페닐다이메티콘,변성알코올,솔비탄스테아레이트,아크릴레이트코폴리머,에틸셀룰로오스,베헤닐알코올,폴리솔베이트60,에틸헥실글리세린,다이아이소스테아릴말레이트,하이드로제네이티드폴리데센,폴리아이소부텐,폴리아크릴레이트-13,폴리솔베이트20,펜틸렌글라이콜,폴리글리세릴-2다이아이소스테아레이트,폴리글리세릴-2트라이아이소스테아레이트,바닐린,향료,다이소듐이디티에이,페녹시에탄올,마이카,티타늄디옥사이드,아이런옥사이드,청색1호,적색201호,적색104호의1,적색227호,황색4호,황색5호"
45,아임 틱톡 틴트 립 벨벳,아임미미,"다이메티콘,사이클로펜타실록세인,다이메티콘/비닐다이메티콘크로스폴리머,정제수,세틸피이지/피피지-10/1다이메티콘,글리세린,폴리글리세릴-2트라이아이소스테아레이트,메틸트라이메티콘,적색201호,펜틸렌글라이콜,황색5호,향료,부틸아크릴레이트/하이드록시프로필다이메티콘아크릴레이트코폴리머,아이소트라이데실아이소노나노에이트,페녹시에탄올,스테비오사이드,티타늄디옥사이드,적색202호,카프릴릴글라이콜,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,12-헥산다이올,적색산화철,적색104호의1,프로판다이올,황색4호,적색227호,에틸헥실글리세린,팔각회향추출물,실리카다이메틸실릴레이트,아이소세테스-25,알란토인,부틸렌글라이콜,하이드롤라이즈드실크,하이드롤라이즈드콜라겐,아라비아고무나무꽃/줄기추출물,수용성콜라겐"
46,썬더볼 틴트 무스,컬러그램,"다이메티콘,정제수,다이메티콘/비닐다이메티콘크로스폴리머,글리세린,라우릴피이지-8다이메티콘,사이클로펜타실록세인,다이메티콘크로스폴리머,아크릴레이트코폴리머,동백오일,로즈힙열매오일,다마스크장미꽃오일,우엉추출물,아마인추출물,알로에베라잎추출물,오크라열매추출물,포포나무열매추출물,12-헥산다이올,프로필렌글라이콜,에틸헥실글리세린,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,실리카,부틸렌글라이콜,카프릴릭/카프릭트라이글리세라이드,향료,페녹시에탄올,등색205호,적색104호의1,적색227호,황색5호"
47,립 페인트,웨이크메이크,"정제수,아이소도데케인,다이메티콘,세틸피이지/피피지-10/1다이메티콘,알코올,옥틸도데칸올,부틸렌글라이콜,아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머,적색201호,트라이메틸실록시페닐다이메티콘,비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,메틸메타크릴레이트크로스폴리머,황색5호,적색산화철,다이스테아다이모늄헥토라이트,적색104호의1,페녹시에탄올,폴리글리세릴-4아이소스테아레이트,피이지/피피지-18/18다이메티콘,향료,티타늄디옥사이드,카프릴릴글라이콜,프로필렌카보네이트,12-헥산다이올,프로판다이올,에틸헥실글리세린,적색227호,팔각회향추출물,알루미늄하이드록사이드,덩굴월귤열매추출물,글리세린,레몬추출물"
48,엔비 바이닐 립컬러,에스티로더,"옥틸도데칸올,정제수,변성알코올,에틸셀룰로오스,아이소도데케인,솔비탄스테아레이트,브이피/메타크릴아마이드/비닐이미다졸코폴리머,아크릴레이트코폴리머,부틸아크릴레이트/하이드록시프로필다이메티콘아크릴레이트코폴리머,다이펜타에리스리틸헥사하이드록시스테아레이트,슈크로오스폴리스테아레이트,수크로오스코코에이트,다이스테아다이모늄헥토라이트,하이드로제네이티드폴리아이소부텐,호호바씨오일,아보카도오일,해바라기씨오일,세라마이드엔지,에틸헥실팔미테이트,트라이베헤닌,팔미토일헥사펩타이드-12,폴리데센,토코페롤,소듐하이알루로네이트,테트라헥실데실아스코베이트,갈락토아라비난,C12-15알킬벤조에이트,사카린,다이칼슘포스페이트,솔비탄아이소스테아레이트,피이지-10피토스테롤,아이소프로필티타늄트라이아이소스테아레이트,포타슘솔베이트,향료,바닐린,틴옥사이드,칼슘소듐보로실리케이트,실리카,펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,비에이치티,페녹시에탄올,마이카,티타늄디옥사이드,적색104호의1,카민,적색227호,청색1호,비스머스옥시클로라이드,적색226호,황색4호,망가니즈바이올렛,황색산화철,적색산화철,흑색산화철,황색5호,적색202호,청동가루,적색201호"
49,반밤 컬러 틴트 오일&매트,에뛰드하우스,"다이메티콘,폴리글리세릴-2트라이아이소스테아레이트,세레신,비스-다이글리세릴폴리아실아디페이트-2,다이페닐실록시페닐트라이메티콘,실리카,다이아이소스테아릴말레이트,호호바에스터,아이소노닐아이소노나노에이트,황색산화철,티타늄디옥사이드,다이메티콘크로스폴리머,적색산화철,하이드로제네이티드폴리아이소부텐,비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,적색202호,12-헥산다이올,알루미나,카올린,흑색산화철,향료,사이클로메티콘,토코페롤,카프릴릭/카프릭트라이글리세라이드,스위트아몬드오일,바오밥나무씨오일,아보카도오일,쉐어버터,호호바씨오일,로즈힙열매추출물,장미추출물"
50,젤리톡틴트,웨이크메이크,"다이아이소스테아릴말레이트,정제수,다이페닐다이메티콘,비스-다이글리세릴폴리아실아디페이트-2,옥틸도데칸올,하이드로제네이티드폴리아이소부텐,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,부틸렌글라이콜,세틸피이지/피피지-10/1다이메티콘,글리세린,폴리솔베이트60,피이지-10다이메티콘,솔비탄아이소스테아레이트,펜틸렌글라이콜,에틸셀룰로오스,글리세릴스테아레이트,피이지-100스테아레이트,페녹시에탄올,수크로오스코코에이트,소듐라우로일글루타메이트,적색227호,황색5호,향료,카프릴릴글라이콜,12-헥산다이올,황색4호,에틸헥실글리세린,트로메타민,스테비오사이드,프로판다이올,팔각회향추출물,동백오일,자몽추출물,꿀추출물"
51,립톤 겟잇틴트 워터바,토니모리,"정제수,부틸렌글라이콜,마이카,소듐스테아레이트,솔비탄아이소스테아레이트,글리세린,펜틸렌글라이콜,폴리솔베이트60,글리세릴스테아레이트,적색40호,황색5호,적색2호,적색218호,소듐클로라이드,다이메티콘,향료,페녹시에탄올,하이드록시에틸셀룰로오스,소듐아세테이트,셀룰로오스,해바라기추출물,하이드롤라이즈드콜라겐,토코페릴아세테이트,서양유채꽃추출물,아스코빅애씨드,소듐하이알루로네이트,복숭아추출물,카프릴릭/카프릭트라이글리세라이드,동백나무씨추출물"
52,메가라스트 리퀴드 캣슈트 매트 립,웻 앤 와일드,"아이소도데케인,사이클로펜타실록세인,옥틸도데칸올,트라이메틸실록시실리케이트,다이스테아다이모늄헥토라이트,하이드로제네이티드폴리사이클로펜타디엔,메틸메타크릴레이트크로스폴리머,폴리메틸실세스퀴옥세인,트리아콘타닐피브이피,프로필렌카보네이트,실리카다이메틸실릴레이트,브이피/아이코센코폴리머,폴리에틸렌,카나우바왁스,페녹시에탄올,피토스테릴마카다미에이트,소르빅애씨드,토코페릴아세테이트,토코페롤,티타늄디옥사이드,적색202호,황색4호,흑색산화철,적색104호의1,적색201호,적색226호,청색1호,황색5호"
53,피키비키 아트팝 에나멜 틴트,토니모리,"정제수,옥틸도데칸올,글리세레스-26,트라이메틸실록시페닐다이메티콘,세테아릴알코올,폴리글리세릴-10데카아이소스테아레이트,피토스테릴/아이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트,부틸렌글라이콜,에틸셀룰로오스,글리세린,세테아릴글루코사이드,다이메티콘,폴리아크릴레이트크로스폴리머-6,폴리아크릴아마이드,라우레스-21,C13-14아이소파라핀,하이드록시프로필구아,스테비오사이드,소듐시트레이트,레시틴,라우레스-7,다이소듐이디티에이,알루미늄하이드록사이드,암모늄폴리아크릴레이트,시트릭애씨드,카무카무추출물,카카두플럼추출물,레몬추출물,아세로라추출물,석류추출물,블랙커런트잎추출물,로즈힙열매추출물,페녹시에탄올,카프릴릴글라이콜,글리세릴카프릴레이트,향료,티타늄디옥사이드,적색104호의1,등색205호,적색227호"
54,워터 그라피 틴트,캐시캣,"정제수,옥틸도데칸올,세틸알코올,변성알코올,피토스테릴/아이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트,에틸셀룰로오스,폴리솔베이트20,12-헥산다이올,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,스쿠알란,폴리솔베이트60,다이아이소스테아릴말레이트,솔비탄스테아레이트,페녹시에탄올,시메티콘,하이드록시에틸셀룰로오스,다이펜타에리스리틸헥사C5-9애씨드에스터,향료,티타늄디옥사이드,적색104호의1,적색산화철,적색201호,황색4호,황색5호,적색227호"
55,차차 틴트,베네피트,"정제수,에틸헥실스테아레이트,부틸렌글라이콜,펜틸렌글라이콜,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,다이메티콘피이지-7포스페이트,스쿠알란,페녹시에탄올,티타늄디옥사이드,레시틴,폴리솔베이트60,테트라소듐이디티에이,황색5호,적색201호,적색104호의1,다이소듐이디티에이"
56,고고 틴트,베네피트,"정제수,에틸헥실스테아레이트,펜틸렌글라이콜,부틸렌글라이콜,다이아이소스테아릴말레이트,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,페녹시에탄올,스쿠알란,레시틴,적색202호레이크,폴리솔베이트60,티타늄디옥사이드,다이소듐이디티에이,테트라소듐이디티에이,솔비탄아이소스테아레이트,적색202호,적색218호,적색104호의1레이크,프로필갈레이트"
57,컬러 센세이셔널 립 틴트,메이블린 뉴욕,"옥틸도데칸올,정제수,트라이메틸실록시페닐다이메티콘,에틸셀룰로오스,솔비탄스테아레이트,알코올,세틸알코올,페녹시에탄올,수크로오스코코에이트,소듐라우릴설페이트,하이드록시프로필구아,향료,알루미나,알루미늄하이드록사이드,실리카,적색103호의(1),적색201호,티타늄디옥사이드,적색218호,황색5호,적색104호의1,적색227호,황색4호,적색산화철,등색205호,청색1호"
58,휘핑 톡 틴트,웨이크메이크,"다이메티콘,다이메티콘/비닐다이메티콘크로스폴리머,폴리글리세릴-2트라이아이소스테아레이트,마이카,실리카,세틸피이지/피피지-10/1다이메티콘,티타늄디옥사이드,사이클로펜타실록세인,다이메티콘크로스폴리머,메틸트라이메티콘,황색5호,적색201호,향료,황색4호,적색202호,메티콘,꿀추출물,덩굴월귤열매추출물,로즈힙씨추출물,부틸렌글라이콜,정제수,페녹시에탄올"
59,마뜨 쉐이커,랑콤,"정제수,다이메티콘,아이소도데케인,부틸렌글라이콜,알코올,아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머,세틸피이지/피피지-10/1다이메티콘,트라이메틸펜타페닐트라이실록세인,다이스테아다이모늄헥토라이트,폴리글리세릴-4아이소스테아레이트,틴옥사이드,피이지/피피지-18/18다이메티콘,칼슘알루미늄보로실리케이트,칼슘소듐보로실리케이트,실리카,알루미나,알루미늄하이드록사이드,마그네슘실리케이트,마그네슘설페이트,로진,다이소듐스테아로일글루타메이트,프로필렌카보네이트,합성플루오르플로고파이트,토코페롤,펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,페녹시에탄올,리모넨,헥실신나몰,향료,적색201호,적색202호,황색5호,적색227호,황색4호,청색1호,적색103호의(1),적색218호,카민,바륨설페이트,적색산화철,황색산화철,흑색산화철,망가니즈바이올렛,티타늄디옥사이드,마이카"
60,립코닉 크림 틴트건,홀리카홀리카,"페닐프로필다이메틸실록시실리케이트,다이아이소스테아릴말레이트,하이드로제네이티드폴리아이소부텐,옥틸도데칸올,올리브오일피이지-8에스터,피토스테릴/아이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트,다이글리세린,다이프로필렌글라이콜,스테아릴알코올,베헤닐알코올,마이크로크리스탈린왁스,폴리솔베이트20,폴리솔베이트60,솔비탄스테아레이트,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,세테아레스-20,세틸피이지/피피지-10/1다이메티콘,카나우바왁스,펜틸렌글라이콜,티타늄디옥사이드,하이드록시아세토페논,페녹시에탄올,스테비오사이드,황색5호,적색104호의1,벤조페논-9,향료,폴리메틸실세스퀴옥세인,솔비탄아이소스테아레이트,에틸헥실글리세린,다이소듐이디티에이,글리세린,실리카,적색227호,꿀추출물,위치하젤잎추출물,복숭아추출물,부틸렌글라이콜"
61,물광 틴트,어퓨,"정제수,옥틸도데칸올,트라이메틸실록시페닐다이메티콘,변성알코올,솔비탄스테아레이트,에틸셀룰로오스,아크릴레이트코폴리머,베헤닐알코올,왕귤껍질오일,오렌지껍질오일,레몬껍질오일,연꽃수,수박추출물,토마토추출물,파파야열매추출물,오렌지추출물,자몽추출물,살구추출물,망고추출물,복숭아추출물,장미추출물,벚꽃추출물,다이펜타에리스리틸테트라하이드록시스테아레이트/테트라아이소스테아레이트,펜틸렌글라이콜,폴리솔베이트60,폴리아크릴레이트-13,다이아이소스테아릴말레이트,폴리아이소부텐,폴리글리세릴-2트라이아이소스테아레이트,폴리글리세릴-2다이아이소스테아레이트,폴리솔베이트20,솔비탄아이소스테아레이트,에틸헥실글리세린,부틸렌글라이콜,프로필렌글라이콜,12-헥산다이올,다이소듐이디티에이,페녹시에탄올,향료,적색202호,황색5호,적색산화철,적색227호,적색102호,적색104호의1,흑색산화철"
62,래디언트 롤리 틴트,위치스파우치,"옥틸도데칸올,정제수,트라이메틸실록시페닐다이메티콘,에틸셀룰로오스,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,펜틸렌글라이콜,트레할로오스,티타늄디옥사이드,폴리글리세릴-2트라이아이소스테아레이트,폴리솔베이트20,페녹시에탄올,향료,소듐라우릴설페이트,알코올,카프릴릴글라이콜,하이드록시프로필구아,울트라마린,에틸헥실글리세린,스테비오사이드,12-헥산다이올,프로판다이올,적색218호,황색산화철,적색227호,적색102호,옥탄다이올,토코페릴아세테이트,달맞이꽃오일,포도씨오일,청색1호"
63,립스테인 워터 글로우,에스쁘아,"정제수,옥틸도데칸올,변성알코올,트라이메틸실록시페닐다이메티콘,다이페닐실록시페닐트라이메티콘,솔비탄스테아레이트,베헤닐알코올,에틸셀룰로오스,적색104호의1,로즈힙열매오일,바바수씨오일,진들딸기씨추출물,펜틸렌글라이콜,폴리솔베이트60,폴리글리세릴-2트라이아이소스테아레이트,다이아이소스테아릴말레이트,소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,폴리글리세릴-2다이아이소스테아레이트,아이소헥사데칸,폴리솔베이트80,에틸헥실글리세린,부틸렌글라이콜,페녹시에탄올,향료,적색202호,적색104호의1,황색4호,적색102호"
64,립리치 비비드 틴트,에뛰드하우스,"정제수,하이드로제네이티드폴리아이소부텐,스쿠알란,마이크로크리스탈린왁스,폴리솔베이트60,펜타에리스리틸테트라아이소스테아레이트,솔비탄스테아레이트,덱스트린팔미테이트/에칠헥사노에이트,쉐어버터,폴리글리세릴-2트라이아이소스테아레이트,티타늄디옥사이드,폴리글리세릴-2다이아이소스테아레이트,데하이드로아세틱애씨드,다이소듐이디티에이,다이스테아다이모늄헥토라이트,다이아이소스테아릴말레이트,에틸헥실글리세린,적색202호,적색218호,적색산화철,카프릴릴글라이콜,토코페롤,트로메타민,페녹시에탄올,폴리에틸렌,폴리하이드록시스테아릭애씨드,프로필렌카보네이트,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,향료,황색4호,황색5호"
65,워터킬 틴티드 립,클리오,"아이소도데케인,옥틸도데칸올,폴리글리세릴-2트라이아이소스테아레이트,다이아이소스테아릴말레이트,실리카,다이스테아다이모늄헥토라이트,황색5호,다이칼슘포스페이트,실리카실릴레이트,합성플루오르플로고파이트,적색104호의1,폴리글리세릴-2다이아이소스테아레이트,적색202호,프로필렌카보네이트,폴리에틸렌,감국추출물,홍화추출물,연교추출물,치자꽃추출물,금은화추출물,메틸하이드로제네이티드로지네이트,폴리부텐,솔비탄아이소스테아레이트,브이피/헥사데센코폴리머,토코페릴아세테이트,부틸렌글라이콜,데하이드로아세틱애씨드,페녹시에탄올,향료,황색4호,티타늄디옥사이드,적색218호"
